severity,topic_id,model_variants,fact_exists,anchor_count,coverage_score,anchor_coverage,issues
OK,adc_dac_signal_conversion_interface,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,pid_control,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,plc_dcs_remote_io,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,power_semiconductor_switching_device_characteristics,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,pressure_dp_transmitter,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,pressure_gauge_accessories_installation,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,pressure_transmitter_datasheet_specification,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,psd_position_sensitive_detector_optical_sensor,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,rectifier_source_inductance_commutation_overlap,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,reference_tracking_prefilter_steady_state_error_control,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,reliability_maintainability_availability_ram,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,second_order_lag_response_by_damping_ratio,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,second_order_system_resonance_frequency_response,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,sensor_linearization_transfer_function_approximation,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,sensor_static_dynamic_performance_characteristics,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,smart_factory_iiot_digital_twin,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,smart_mcc_motor_control_center_monitoring,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,temperature_measurement_error_heat_transfer,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,temperature_sensor_thermocouple_rtd,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,temperature_sensor_thermowell_material_selection,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,thermopile_noncontact_ir_temperature_sensor,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,transfer_function_state_space,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,vibration_measurement_condition_monitoring,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,wheatstone_bridge_null_balance_measurement,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,wirelesshart_isa100_wireless_instrument_network,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
